"","County","Status","meanvalue","Long","Lat"
"1","Anna Maria Island","N",49.979625,-82.719,27.513
"2","Anna Maria Island","Y",45.64215,-82.719,27.513
"3","Bay County","N",57.4861818181818,-85.63,30.24
"4","Bay County","Y",59.7541363636364,-85.63,30.24
"5","Bonita SPrings","Y",62.6389166666667,-81.7787,26.33981
"6","Bonita SPrings","N",62.10415,-81.7787,26.33981
"7","Deerfield Beach","Y",62.6396153846154,-80.088615,26.329422
"8","Deerfield Beach","N",62.9541666666667,-80.088615,26.329422
"9","Destin","N",57.9478076923077,-86.495781,30.393534
"10","Destin","Y",56.2080555555556,-86.495781,30.393534
"11","Flagler COunty","N",2.66955,-81.3,29.47
"12","Flagler COunty","Y",5.20641666666667,-81.3,29.47
"13","Fort Lauderdale","Y",62.70155,-80.137314,26.12243
"14","Fort Lauderdale","N",62.9947916666667,-80.137314,26.12243
"15","GUlf COunty","Y",0.210333333333333,-85.24,29.9
"16","GUlf COunty","N",0.3517,-85.24,29.9
"17","Hallandale Beach","N",62.99285,-80.146024,25.986719
"18","Hallandale Beach","Y",62.850125,-80.146024,25.986719
"19","Jacksonville beach","N",62.9873333333333,-81.655647,30.332184
"20","Jacksonville beach","Y",62.8363846153846,-81.655647,30.332184
"21","Lauderdale By the Sea","Y",61.7200454545455,-80.09643,26.19203
"22","Lauderdale By the Sea","N",62.5526818181818,-80.09643,26.19203
"23","Meixco Beach","Y",19.00875,-85.406361,29.941336
"24","Meixco Beach","N",20.635,-85.406361,29.941336
"25","Pinelals County","N",62.9727692307692,-82.74,27.9
"26","Pinelals County","Y",62.9527777777778,-82.74,27.9
"27","Santa Rosa","N",12.3662142857143,-86.2288322,30.3960324
"28","Santa Rosa","Y",20.5655,-86.2288322,30.3960324
